Cloth Mythic+ Dungeon Pool — Hero & Myth Upgrade Stats,,,,,,,,
,,,,,,,,
Track rank,Item level,,Methodology,,,,,
Hero 1/6,305,,"Item IDs were matched against SimulationCraft’s current Midnight item database. Displayed stats and scaled item effects were then captured from Wowhead at each Season 2 item level. Values preserve Wowhead’s in-game display rounding. Overlapping Hero/Myth item levels intentionally repeat the same values.

Sources:
https://github.com/simulationcraft/simc
https://www.wowhead.com/guide/midnight/item-level-gear-upgrades-dawncrests
Individual Wowhead item links are included on each data sheet.",,,,,
Hero 2/6,308,,,,,,,
Hero 3/6,311,,,,,,,
Hero 4/6,315,,,,,,,
Hero 5/6,318,,,,,,,
Hero 6/6,321,,,,,,,
Myth 1/6,318,,,,,,,
Myth 2/6,321,,,,,,,
Myth 3/6,324,,,,,,,
Myth 4/6,328,,,,,,,
Myth 5/6,331,,,,,,,
Myth 6/6,334,,,,,,,
Hero Track — Season 2 Upgrade Stats,,,,,,,,
Each cell contains the complete displayed stat/effect line at that upgrade rank.,,,,,,,,
Item Name,Item ID,"Hero 1/6
(ilvl 305)","Hero 2/6
(ilvl 308)","Hero 3/6
(ilvl 311)","Hero 4/6
(ilvl 315)","Hero 5/6
(ilvl 318)","Hero 6/6
(ilvl 321)",Wowhead Source
Band of the Amani Warlord,273792,"+1,572 Stamina
+123 Critical Strike
+216 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,629 Stamina
+126 Critical Strike
+221 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,689 Stamina
+128 Critical Strike
+225 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,768 Stamina
+131 Critical Strike
+231 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,830 Stamina
+134 Critical Strike
+235 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""","+1,895 Stamina
+136 Critical Strike
+239 Haste
""""A simple but durable ring, once worn by the Warlord Zul'jin himself.""""",https://www.wowhead.com/item=273792
Bindings of the Slithering Current,158348,"44 Armor
+81 Intellect
+1,572 Stamina
+63 Critical Strike
+37 Versatility","45 Armor
+83 Intellect
+1,629 Stamina
+64 Critical Strike
+38 Versatility","46 Armor
+86 Intellect
+1,689 Stamina
+64 Critical Strike
+38 Versatility","47 Armor
+89 Intellect
+1,768 Stamina
+66 Critical Strike
+39 Versatility","48 Armor
+91 Intellect
+1,830 Stamina
+66 Critical Strike
+39 Versatility","49 Armor
+94 Intellect
+1,895 Stamina
+67 Critical Strike
+40 Versatility",https://www.wowhead.com/item=158348
Bloodthorn Burnous,251190,"65 Armor
+81 [Agility or Strength or Intellect]
+1,572 Stamina
+65 Haste
+35 Mastery","66 Armor
+83 [Agility or Strength or Intellect]
+1,629 Stamina
+66 Haste
+35 Mastery","67 Armor
+86 [Agility or Strength or Intellect]
+1,689 Stamina
+67 Haste
+36 Mastery","69 Armor
+89 [Agility or Strength or Intellect]
+1,768 Stamina
+68 Haste
+37 Mastery","70 Armor
+91 [Agility or Strength or Intellect]
+1,830 Stamina
+69 Haste
+37 Mastery","72 Armor
+94 [Agility or Strength or Intellect]
+1,895 Stamina
+70 Haste
+37 Mastery",https://www.wowhead.com/item=251190
Branch of Pride,251196,"124 - 186 Damage
Speed 3.60
(43.1 damage per second)
+838 [Agility or Intellect]
+2,794 Stamina
+112 Versatility
+66 Mastery","128 - 192 Damage
Speed 3.60
(44.3 damage per second)
+862 [Agility or Intellect]
+2,896 Stamina
+113 Versatility
+67 Mastery","131 - 197 Damage
Speed 3.60
(45.6 damage per second)
+886 [Agility or Intellect]
+3,002 Stamina
+115 Versatility
+68 Mastery","136 - 205 Damage
Speed 3.60
(47.4 damage per second)
+920 [Agility or Intellect]
+3,143 Stamina
+117 Versatility
+69 Mastery","140 - 211 Damage
Speed 3.60
(48.7 damage per second)
+946 [Agility or Intellect]
+3,254 Stamina
+118 Versatility
+70 Mastery","144 - 217 Damage
Speed 3.60
(50.1 damage per second)
+972 [Agility or Intellect]
+3,369 Stamina
+120 Versatility
+71 Mastery",https://www.wowhead.com/item=251196
Brood Cleanser's Amice,158359,"61 Armor
+108 Intellect
+2,096 Stamina
+55 Critical Strike
+78 Versatility","62 Armor
+111 Intellect
+2,172 Stamina
+56 Critical Strike
+79 Versatility","63 Armor
+114 Intellect
+2,252 Stamina
+57 Critical Strike
+80 Versatility","65 Armor
+118 Intellect
+2,358 Stamina
+58 Critical Strike
+82 Versatility","66 Armor
+122 Intellect
+2,440 Stamina
+58 Critical Strike
+83 Versatility","67 Armor
+125 Intellect
+2,527 Stamina
+59 Critical Strike
+84 Versatility",https://www.wowhead.com/item=158359
Charged Sandstone Band,158366,"+1,572 Stamina
+194 Critical Strike
+145 Mastery
Prismatic Socket","+1,629 Stamina
+198 Critical Strike
+148 Mastery
Prismatic Socket","+1,689 Stamina
+202 Critical Strike
+151 Mastery
Prismatic Socket","+1,768 Stamina
+207 Critical Strike
+155 Mastery
Prismatic Socket","+1,830 Stamina
+211 Critical Strike
+158 Mastery
Prismatic Socket","+1,895 Stamina
+215 Critical Strike
+161 Mastery
Prismatic Socket",https://www.wowhead.com/item=158366
Chillworn's Infusion Staff,193769,"124 - 186 Damage
Speed 3.60
(43.1 damage per second)
+838 Intellect
+2,794 Stamina
+100 Critical Strike
+77 Versatility","128 - 192 Damage
Speed 3.60
(44.3 damage per second)
+862 Intellect
+2,896 Stamina
+102 Critical Strike
+78 Versatility","131 - 197 Damage
Speed 3.60
(45.6 damage per second)
+886 Intellect
+3,002 Stamina
+103 Critical Strike
+79 Versatility","136 - 205 Damage
Speed 3.60
(47.4 damage per second)
+920 Intellect
+3,143 Stamina
+105 Critical Strike
+81 Versatility","140 - 211 Damage
Speed 3.60
(48.7 damage per second)
+946 Intellect
+3,254 Stamina
+106 Critical Strike
+82 Versatility","144 - 217 Damage
Speed 3.60
(50.1 damage per second)
+972 Intellect
+3,369 Stamina
+107 Critical Strike
+83 Versatility",https://www.wowhead.com/item=193769
Cloak of the Restless Tribes,159288,"65 Armor
+81 [Agility or Strength or Intellect]
+1,572 Stamina
+54 Versatility
+46 Mastery
Equip: Standing still for 4 sec increases your Speed by 89. Lasts for 4 sec once you start moving.","66 Armor
+83 [Agility or Strength or Intellect]
+1,629 Stamina
+55 Versatility
+46 Mastery
Equip: Standing still for 4 sec increases your Speed by 90. Lasts for 4 sec once you start moving.","67 Armor
+86 [Agility or Strength or Intellect]
+1,689 Stamina
+56 Versatility
+47 Mastery
Equip: Standing still for 4 sec increases your Speed by 91. Lasts for 4 sec once you start moving.","69 Armor
+89 [Agility or Strength or Intellect]
+1,768 Stamina
+57 Versatility
+48 Mastery
Equip: Standing still for 4 sec increases your Speed by 93. Lasts for 4 sec once you start moving.","70 Armor
+91 [Agility or Strength or Intellect]
+1,830 Stamina
+57 Versatility
+48 Mastery
Equip: Standing still for 4 sec increases your Speed by 94. Lasts for 4 sec once you start moving.","72 Armor
+94 [Agility or Strength or Intellect]
+1,895 Stamina
+58 Versatility
+49 Mastery
Equip: Standing still for 4 sec increases your Speed by 96. Lasts for 4 sec once you start moving.",https://www.wowhead.com/item=159288
Counterfeit Clutches,251133,"50 Armor
+108 Intellect
+2,096 Stamina
+81 Critical Strike
+52 Mastery","51 Armor
+111 Intellect
+2,172 Stamina
+82 Critical Strike
+53 Mastery","52 Armor
+114 Intellect
+2,252 Stamina
+83 Critical Strike
+54 Mastery","53 Armor
+118 Intellect
+2,358 Stamina
+84 Critical Strike
+55 Mastery","55 Armor
+122 Intellect
+2,440 Stamina
+86 Critical Strike
+55 Mastery","56 Armor
+125 Intellect
+2,527 Stamina
+87 Critical Strike
+56 Mastery",https://www.wowhead.com/item=251133
